"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","codeListId","codeListParentId"
"BR-OPP-00070-0052","value_check","OPP-070-notice","The OPP-070-notice Notice Subtype must contain one of the values of the code list notice-subtype.","NULL","NULL","NULL","all","ERROR","notice-subtype","NULL"
"BR-OPP-00100-0052","value_check","OPP-100-Business","The OPP-100-Business Notice Purpose must contain one of the values of the code list notice-purpose.","NULL","NULL","NULL","all","ERROR","notice-purpose","NULL"
"BR-OPP-00105-0051","value_check","OPP-105-Business","The OPP-105-Business Sector of activity must contain one of the values of the code list main-activity.","NULL","NULL","NULL","all","ERROR","main-activity","NULL"
"BR-OPP-00112-0052","value_check","OPP-112-Business","The OPP-112-Business Place of registration - Country must contain one of the values of the code list country.","NULL","NULL","NULL","all","ERROR","eforms-country","country"
"BR-OPT-00030-0051","value_check","OPT-030-Procedure-SProvider","The OPT-030-Procedure-SProvider Provided Service Type must contain one of the values of the code list organisation-role-service.","NULL","NULL","NULL","all","ERROR","organisation-role-service","organisation-role"
"BR-OPT-00050-0101","value_check","OPT-050-Part","The OPT-050-Part Document Status must contain one of the values of the code list document-status.","NULL","NULL","NULL","all","ERROR","document-status","NULL"
"BR-OPT-00050-0102","value_check","OPT-050-Lot","The OPT-050-lot Document Status must contain one of the values of the code list document-status.","NULL","NULL","NULL","all","ERROR","document-status","NULL"
"BR-OPT-00060-0051","value_check","OPT-060-Lot","The OPT-060-Lot Execution Requirements Factor must contain one of the values of the code list conditions.","NULL","NULL","NULL","all","ERROR","conditions","NULL"
"BR-OPT-00071-0051","value_check","OPT-071-Lot","The OPT-071-Lot Quality Target Code must contain one of the values of the code list customer-service.","NULL","NULL","NULL","all","ERROR","customer-service","NULL"
"BR-OPT-00090-0104","value_check","OPT-090-Lot","The OPT-090-Lot Buyer Categories must contain one of the values of the code list buyer-categories.","NULL","NULL","NULL","all","ERROR","buyer-categories","NULL"
"BR-OPT-00091-0052","value_check","OPT-091-ReviewReq","OPT-091-ReviewReq must contain one of the values of the code list organisation-role-service.","NULL","NULL","NULL","all","ERROR","review-requester-type","organisation-role"
"BR-OPT-00150-0052","value_check","OPT-150-Lot","The OPT-150-Lot Subcontracting Allowed must contain one of the values of the code list indicator.","NULL","NULL","NULL","all","ERROR","indicator","NULL"
"BR-OPT-00155-0052","value_check","OPT-155-LotResult","The OPT-155-LotResult Vehicule Type must contain one of the values of the code list vehicles.","NULL","NULL","NULL","all","ERROR","vehicles","NULL"
